"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2023","2.3554","2.3340","2.3780","2.3210","54.14K","0.80%"
"05/25/2023","2.3366","2.3971","2.4031","2.3082","44.70K","-2.72%"
"05/24/2023","2.4019","2.3696","2.4086","2.3643","48.74K","2.10%"
"05/23/2023","2.3525","2.3583","2.3945","2.3442","46.35K","-0.14%"
"05/22/2023","2.3558","2.3559","2.3700","2.3191","38.38K","0.14%"
"05/19/2023","2.3524","2.3919","2.4288","2.3447","48.75K","-1.38%"
"05/18/2023","2.3854","2.4072","2.4106","2.3614","38.01K","-0.92%"
"05/17/2023","2.4075","2.3440","2.4143","2.3267","40.05K","2.59%"
"05/16/2023","2.3467","2.3639","2.3769","2.3277","30.01K","-0.55%"
"05/15/2023","2.3597","2.2983","2.3690","2.2739","38.99K","2.70%"
"05/12/2023","2.2976","2.3522","2.3522","2.2936","27.51K","-1.94%"
"05/11/2023","2.3430","2.3901","2.4158","2.3379","32.75K","-1.92%"
"05/10/2023","2.3888","2.3944","2.4052","2.3653","36.03K","-0.13%"
"05/09/2023","2.3919","2.3655","2.3949","2.3258","24.16K","0.53%"
"05/08/2023","2.3794","2.3183","2.3862","2.3160","22.32K","2.61%"
"05/05/2023","2.3189","2.2444","2.3287","2.2347","24.42K","3.39%"
"05/04/2023","2.2428","2.2150","2.2733","2.1550","24.95K","0.37%"
"05/03/2023","2.2345","2.2961","2.2999","2.2068","27.38K","-2.49%"
"05/02/2023","2.2915","2.3842","2.3989","2.2761","28.20K","-3.88%"
"05/01/2023","2.3840","2.3747","2.3903","2.3321","22.27K","0.29%"
"04/28/2023","2.3771","2.3555","2.3943","2.3261","54.17K","1.05%"
"04/27/2023","2.3525","2.3701","2.3885","2.3324","57.62K","-0.70%"
"04/26/2023","2.3692","2.4463","2.4676","2.3650","57.80K","-3.21%"
"04/25/2023","2.4477","2.5190","2.5377","2.4429","60.52K","-2.97%"
"04/24/2023","2.5226","2.4908","2.5363","2.4470","60.66K","1.75%"
"04/21/2023","2.4792","2.4777","2.5077","2.4614","40.32K","-0.06%"
"04/20/2023","2.4808","2.5346","2.5346","2.4608","51.09K","-2.33%"
"04/19/2023","2.5401","2.5781","2.5823","2.5246","43.31K","-1.60%"
"04/18/2023","2.5815","2.5957","2.6057","2.5598","46.63K","-0.26%"
"04/17/2023","2.5882","2.6160","2.6277","2.5650","49.39K","-1.05%"
"04/14/2023","2.6156","2.6461","2.6467","2.6046","50.32K","-0.79%"
"04/13/2023","2.6363","2.6588","2.6703","2.6271","35.12K","-0.89%"
"04/12/2023","2.6600","2.6212","2.6746","2.6067","43.12K","1.41%"
"04/11/2023","2.6230","2.6282","2.6492","2.5796","47.55K","-0.22%"
"04/10/2023","2.6287","2.6180","2.6499","2.5916","32.77K","0.63%"
"04/06/2023","2.6122","2.6725","2.6753","2.6083","54.77K","-2.23%"
"04/05/2023","2.6717","2.6388","2.6780","2.6098","53.38K","1.83%"
"04/04/2023","2.6237","2.6196","2.6537","2.5736","44.93K","0.21%"
"04/03/2023","2.6183","2.6893","2.7095","2.6064","43.64K","-0.09%"
"03/31/2023","2.6206","2.5716","2.6253","2.5576","47.92K","2.22%"
"03/30/2023","2.5638","2.5557","2.5948","2.5426","56.44K","-0.11%"
"03/29/2023","2.5665","2.6390","2.6562","2.5527","73.73K","-3.01%"
"03/28/2023","2.6461","2.6414","2.6811","2.6240","60.89K","-0.20%"
"03/27/2023","2.6515","2.5850","2.6608","2.5656","64.27K","3.05%"
"03/24/2023","2.5730","2.5740","2.6074","2.5035","59.57K","0.01%"
"03/23/2023","2.5727","2.5838","2.6281","2.5592","60.18K","-1.29%"
"03/22/2023","2.6063","2.5709","2.6374","2.5438","61.32K","1.30%"
"03/21/2023","2.5729","2.5571","2.5793","2.5112","48.04K","0.59%"
"03/20/2023","2.5578","2.5400","2.5718","2.4575","45.13K","0.42%"
"03/17/2023","2.5472","2.5300","2.6102","2.5038","52.18K","0.45%"
"03/16/2023","2.5358","2.5162","2.5467","2.4238","46.45K","1.17%"
